#t_s,value
0.813000,-0.089514
0.814000,-0.091309
0.815000,-0.092524
0.816000,-0.093155
0.817000,-0.093205
0.818000,-0.092680
0.819000,-0.091590
0.820000,-0.089951
0.821000,-0.087776
0.822000,-0.085091
0.823000,-0.081918
0.824000,-0.078285
0.825000,-0.074226
0.826000,-0.069770
0.827000,-0.064956
0.828000,-0.059822
0.829000,-0.054409
0.830000,-0.048757
0.831000,-0.042910
0.832000,-0.036913
0.833000,-0.030810
0.834000,-0.024645
0.835000,-0.018464
0.836000,-0.012312
0.837000,-0.006232
0.838000,-0.000266
0.839000,0.005542
0.840000,0.011156
0.841000,0.016535
0.842000,0.021644
0.843000,0.026452
0.844000,0.030926
0.845000,0.035039
0.846000,0.038767
0.847000,0.042087
0.848000,0.044984
0.849000,0.047442
0.850000,0.049449
0.851000,0.050999
0.852000,0.052086
0.853000,0.052712
0.854000,0.052878
0.855000,0.052593
0.856000,0.051864
0.857000,0.050705
0.858000,0.049134
0.859000,0.047169
0.860000,0.044831
0.861000,0.042146
0.862000,0.039138
0.863000,0.035839
0.864000,0.032278
0.865000,0.028487
0.866000,0.024499
0.867000,0.020349
0.868000,0.016072
0.869000,0.011702
0.870000,0.007275
0.871000,0.002827
0.872000,-0.001607
0.873000,-0.005994
0.874000,-0.010303
0.875000,-0.014498
0.876000,-0.018553
0.877000,-0.022437
0.878000,-0.026125
0.879000,-0.029594
0.880000,-0.032819
0.881000,-0.035783
0.882000,-0.038468
0.883000,-0.040861
0.884000,-0.042950
0.885000,-0.044727
0.886000,-0.046187
0.887000,-0.047326
0.888000,-0.048144
0.889000,-0.048646
0.890000,-0.048836
0.891000,-0.048724
0.892000,-0.048321
0.893000,-0.047638
0.894000,-0.046693
0.895000,-0.045502
0.896000,-0.044087
0.897000,-0.042468
0.898000,-0.040666
0.899000,-0.038709
0.900000,-0.036620
0.901000,-0.034425
0.902000,-0.032150
0.903000,-0.029822
0.904000,-0.027468
0.905000,-0.025115
0.906000,-0.022789
0.907000,-0.020516
0.908000,-0.018318
0.909000,-0.016220
0.910000,-0.014244
0.911000,-0.012410
0.912000,-0.010738
0.913000,-0.009243
0.914000,-0.007941
0.915000,-0.006844
0.916000,-0.005962
0.917000,-0.005305
0.918000,-0.004877
0.919000,-0.004680
0.920000,-0.004716
0.921000,-0.004984
0.922000,-0.005479
0.923000,-0.006193
0.924000,-0.007119
0.925000,-0.008245
0.926000,-0.009557
0.927000,-0.011040
0.928000,-0.012678
0.929000,-0.014450
0.930000,-0.016338
0.931000,-0.018318
0.932000,-0.020368
0.933000,-0.022464
0.934000,-0.024583
0.935000,-0.026699
0.936000,-0.028786
0.937000,-0.030819
0.938000,-0.032776
0.939000,-0.034629
0.940000,-0.036356
0.941000,-0.037932
0.942000,-0.039339
0.943000,-0.040554
0.944000,-0.041559
0.945000,-0.042337
0.946000,-0.042872
0.947000,-0.043153
0.948000,-0.043165
0.949000,-0.042903
0.950000,-0.042357
0.951000,-0.041527
0.952000,-0.040408
0.953000,-0.039003
0.954000,-0.037314
0.955000,-0.035348
0.956000,-0.033114
0.957000,-0.030622
0.958000,-0.027886
0.959000,-0.024921
0.960000,-0.021745
0.961000,-0.018378
0.962000,-0.014842
0.963000,-0.011159
0.964000,-0.007355
0.965000,-0.003456
0.966000,0.000510
0.967000,0.004517
0.968000,0.008532
0.969000,0.012529
0.970000,0.016477
0.971000,0.020346
0.972000,0.024107
0.973000,0.027731
0.974000,0.031189
0.975000,0.034454
0.976000,0.037501
0.977000,0.040304
0.978000,0.042839
0.979000,0.045086
0.980000,0.047024
0.981000,0.048637
0.982000,0.049910
0.983000,0.050828
0.984000,0.051383
0.985000,0.051565
0.986000,0.051371
0.987000,0.050796
0.988000,0.049843
0.989000,0.048513
0.990000,0.046813
0.991000,0.044751
0.992000,0.042338
0.993000,0.039588
0.994000,0.036516
0.995000,0.033142
0.996000,0.029486
0.997000,0.025570
0.998000,0.021419
0.999000,0.017059
1.000000,0.012520
1.001000,0.007828
1.002000,0.003015
1.003000,-0.001887
1.004000,-0.006848
1.005000,-0.011835
1.006000,-0.016814
1.007000,-0.021755
1.008000,-0.026624
1.009000,-0.031391
1.010000,-0.036024
1.011000,-0.040494
1.012000,-0.044770
1.013000,-0.048827
1.014000,-0.052640
1.015000,-0.056183
1.016000,-0.059435
1.017000,-0.062375
1.018000,-0.064988
1.019000,-0.067255
1.020000,-0.069166
1.021000,-0.070711
1.022000,-0.071881
1.023000,-0.072671
1.024000,-0.073080
1.025000,-0.073106
1.026000,-0.072754
1.027000,-0.072031
1.028000,-0.070943
1.029000,-0.069502
1.030000,-0.067721
1.031000,-0.065615
1.032000,-0.063203
1.033000,-0.060504
1.034000,-0.057540
1.035000,-0.054334
1.036000,-0.050912
1.037000,-0.047300
1.038000,-0.043525
1.039000,-0.039616
1.040000,-0.035602
1.041000,-0.031512
1.042000,-0.027378
1.043000,-0.023228
1.044000,-0.019093
1.045000,-0.015001
1.046000,-0.010983
1.047000,-0.007066
1.048000,-0.003278
1.049000,0.000355
1.050000,0.003810
1.051000,0.007063
1.052000,0.010091
1.053000,0.012877
1.054000,0.015401
1.055000,0.017648
1.056000,0.019605
1.057000,0.021262
1.058000,0.022608
1.059000,0.023637
1.060000,0.024345
1.061000,0.024730
1.062000,0.024793
1.063000,0.024537
1.064000,0.023966
1.065000,0.023088
1.066000,0.021912
1.067000,0.020451
1.068000,0.018717
1.069000,0.016728
1.070000,0.014496
1.071000,0.012044
1.072000,0.009391
1.073000,0.006557
1.074000,0.003565
1.075000,0.000437
1.076000,-0.002801
1.077000,-0.006127
1.078000,-0.009516
1.079000,-0.012942
1.080000,-0.016382
1.081000,-0.019811
1.082000,-0.023205
1.083000,-0.026542
1.084000,-0.029798
1.085000,-0.032952
1.086000,-0.035983
1.087000,-0.038873
1.088000,-0.041604
1.089000,-0.044159
1.090000,-0.046523
1.091000,-0.048684
1.092000,-0.050630
1.093000,-0.052351
1.094000,-0.053840
1.095000,-0.055092
1.096000,-0.056102
1.097000,-0.056868
1.098000,-0.057390
1.099000,-0.057671
1.100000,-0.057713
1.101000,-0.057522
1.102000,-0.057107
1.103000,-0.056472
1.104000,-0.055632
1.105000,-0.054596
1.106000,-0.053377
1.107000,-0.051990
1.108000,-0.050449
1.109000,-0.048769
1.110000,-0.046969
1.111000,-0.045065
1.112000,-0.043074
1.113000,-0.041014
1.114000,-0.038903
1.115000,-0.036758
1.116000,-0.034598
1.117000,-0.032439
1.118000,-0.030299
1.119000,-0.028194
1.120000,-0.026138
1.121000,-0.024146
1.122000,-0.022233
1.123000,-0.020408
1.124000,-0.018685
1.125000,-0.017072
1.126000,-0.015578
1.127000,-0.014209
1.128000,-0.012972
1.129000,-0.011870
1.130000,-0.010906
1.131000,-0.010079
1.132000,-0.009391
1.133000,-0.008837
1.134000,-0.008416
1.135000,-0.008121
1.136000,-0.007947
1.137000,-0.007885
1.138000,-0.007926
1.139000,-0.008061
1.140000,-0.008278
1.141000,-0.008566
1.142000,-0.008911
1.143000,-0.009299
1.144000,-0.009719
1.145000,-0.010154
1.146000,-0.010589
1.147000,-0.011012
1.148000,-0.011405
1.149000,-0.011756
1.150000,-0.012050
1.151000,-0.012272
1.152000,-0.012409
1.153000,-0.012451
